occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial,n_workers_weighted_round
6541,Security guards and related security service occupations,65.00000000,2.84200001,4.41200018,4.04799986,1.99800003,4.28399992,1.80599999,3.00199986,3.88599992,3.39199996,2.18000007,1.28399992,2.86199999,1.19400001,17020
6551,Customer services representatives - financial institutions,65.00000000,2.86000013,4.93000031,4.35999966,2.00499988,4.84500027,1.14499998,1.15499997,3.69000006,4.54500008,1.31999993,1.04999995,1.12000000,1.02999997,9460
6552,Other customer and information services representatives,65.00000000,2.60999990,4.84000015,4.03000021,1.19000006,4.44000006,1.10000002,1.46000004,3.29999995,3.50999999,1.40999997,1.01999998,1.04999995,1.03999996,24505
6561,"Image, social and other personal consultants",65.00000000,3.93000007,4.82000017,4.48000002,2.27999997,4.82999992,1.00000000,1.00000000,4.69000006,4.26999998,1.00000000,1.00000000,3.45000005,1.00000000,455
6562,"Estheticians, electrologists and related occupations",65.00000000,3.40499997,4.36999989,3.08500004,2.25000000,4.25999975,1.00500000,1.00500000,4.76499987,4.07499981,1.00000000,1.00000000,3.47000003,1.58999991,9740
6563,Pet groomers and animal care workers,65.00000000,3.18499994,4.49499989,3.75999999,2.65000010,4.69999981,3.07999992,4.11000013,3.56500006,3.67499995,2.81999993,1.58999991,2.66000009,1.21000004,4455
6564,Other personal service occupations,65.00000000,4.39499998,4.36999989,3.44000006,2.94500017,4.19000006,1.25999999,1.48000002,4.48999977,3.32999992,1.43499994,1.00000000,2.58999991,1.20499992,580
6611,Cashiers,66.00000000,3.14666677,4.88999987,4.45666695,1.93999994,4.63999987,1.16999996,1.18666673,3.95000005,4.40333319,1.04333329,1.12000000,1.66333330,1.00333333,48220
6621,Service station attendants,66.00000000,2.69000006,4.51000023,4.40999985,1.13999999,4.96000004,3.08999991,4.44999981,3.40000010,3.81999993,3.43000007,1.98000002,4.75000000,1.13000000,2270
6622,"Store shelf stockers, clerks and order 
fillers",66.00000000,2.20499992,4.16499996,3.42000008,1.35500002,4.80500031,2.11500001,2.39499998,3.66499996,2.97499990,2.25999999,2.71499991,3.29500008,1.29999995,24565
6623,Other sales related occupations,66.00000000,2.29500008,4.73499966,4.23499966,1.24000001,4.17500019,1.39499998,1.30999994,3.87000012,3.37500000,1.90499997,1.00000000,1.19000006,1.00000000,4830
6711,"Food counter attendants, kitchen helpers and related support occupations",67.00000000,3.19000006,4.34000015,3.92499995,1.44250000,4.21500015,1.07749999,1.63000000,3.79250002,3.33750010,1.19000006,1.04250002,3.48250008,1.17000008,65680
6721,"Support occupations in accommodation, travel and facilities set-up services",67.00000000,2.98000002,4.06999969,3.22000003,1.57999992,4.23500013,2.63499999,3.24499989,4.25000000,2.81500006,3.00500011,2.58999991,3.01499987,1.32999992,1175
6722,"Operators and attendants in amusement, recreation and sport",67.00000000,3.63999987,4.84500027,4.00500011,2.24000001,4.55000019,1.72500002,2.36000013,4.09999990,4.12500000,1.96000004,1.15499997,2.78999996,1.22000003,5175
6731,Light duty cleaners,67.00000000,3.00999999,4.46000004,2.41000009,3.05999994,4.07000017,1.13000000,1.27999997,2.67000008,3.78999996,1.01999998,1.00000000,4.28000021,1.12000000,35590
6732,Specialized cleaners,67.00000000,2.09999990,3.35999990,2.27999997,1.64999998,4.57999992,2.55999994,3.88000011,3.19000006,2.08999991,3.19000006,1.78999996,3.60999990,2.00999999,6775
6733,"Janitors, caretakers and building superintendents",67.00000000,2.55999994,3.79999995,2.81999993,2.88000011,4.23000002,2.04999995,2.38000011,2.93000007,2.75000000,1.67999995,1.51999998,4.03000021,1.80999994,35355
6741,"Dry cleaning, laundry and related occupations",67.00000000,2.95000005,3.50000000,2.35333323,1.78666663,4.07999992,1.46666670,1.76333332,2.89666677,2.27333331,1.19666660,1.68333328,3.59333348,2.01666665,3055
