occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial
513,"Recreation, sports and fitness program and service directors",5,2.79,4.5900002,4.3400002,1.6900001,4.9400001,1.09,1.2,4.02,4.1700001,1.17,1.04,1.04,1.02
601,Corporate sales managers,6,2.52,4.8299999,4.2600002,1.13,4.3200002,1.96,2.1700001,2.9100001,3.7,3.3199999,1.1799999,1.4299999,1.04
621,Retail and wholesale trade managers,6,2.52,4.8299999,4.2600002,1.13,4.3200002,1.96,2.1700001,2.9100001,3.7,3.3199999,1.1799999,1.4299999,1.04
631,Restaurant and food service managers,6,2.98,4.8800001,4.2399998,1.38,4.79,1.62,1.72,4.1100001,3.99,1.79,1.03,4.1799998,1.16
632,Accommodation service managers,6,3.72,4.8899999,4.4899998,1.14,4.8299999,1.0700001,1.45,2.97,4.1599998,1.9,1,1.09,1.01
651,"Managers in customer and personal services, n.e.c.",6,4.4099998,5,4.6199999,1.45,4.9699998,1.0700001,1.0700001,4.29,4.1900001,1.38,1,1.62,1.01
711,Construction managers,7,2.24,4.6799998,3.6400001,1.16,4.6399999,2.52,3.28,3,3,2.96,1.6799999,3.9200001,2
712,Home building and renovation managers,7,2.24,4.6799998,3.6400001,1.16,4.6399999,2.52,3.28,3,3,2.96,1.6799999,3.9200001,2
714,Facility operation and maintenance managers,7,2.5066667,4.5166669,3.5699999,1.1033334,4.7666669,1.92,2.4066668,3.02,2.4166667,2.7533333,2.1133332,3.2866666,1.8466667
731,Managers in transportation,7,2.6600001,4.6175003,3.8724999,1.4025,4.8375001,2.2825,3.2550001,3.075,2.9650002,3.5250001,2.2049999,3.3275001,1.7075
811,Managers in natural resources production and fishing,8,2.75,4.5500002,3.6800001,1.1799999,4.8299999,3,4.5900002,3.8299999,2.79,3.78,2.9200001,4.5999999,2.3900001
